v_id,se_id,other_names,variable_order,context,title,description,origin,taken_from,equivalent_to,other_models,similar,notes
ff_disj,symm_od,,"MD,L,FF","1,1",Forest Fire disjunctive,,,Halpern 2015,assassin_badgirl,,Bullseye (Glymour 1),
ff_conj,conj,,"MD,L,FF","1,1",Forest Fire conjunctive,,,Halpern 2015,,,Bullets collide (Glymour 3),
rock_bottle,late_preemption,,"ST,BT,SH,BH,BS","1,1",Rock throwing,,,Halpern 2015,,rock_bottle_time,Fast bullet (Glymour 2),
one_rock,symm_od,,"MD,L,FF","1,0",Only Suzy throws,,,Beckers 2018,,,,
backup_omission,backup_prevention,,"A,B,D","1,0",Backup Omission,,,Hitchcock 2007,,,,
bogus_prevention,backup_prevention,careful_antidote,"A,B,D","0,1",Bogus prevention,,,Weslake,,,,
prevention,backup_prevention,,"A,B,D","1,1",Prevention,,,"Hitchcock 2007, p. 513",,,,
loader,loader,,"A,B,C,D","1,0,1",Loader,,Hopkins and Pearl [2003],Halpern 2015,,,,
combination_lamp,three_switches,,"A,B,C,L","1,-1,1",Combination Lamp,,,Weslake §9,,,,
ff_mechanisms,ff_mechanisms,,"MD,L,A,B,C,FF","1,1",Firest Fire mechanisms,,,"Halpern 2015, Ex. 3.6",,,,
campfire_vote,campfire_vote,,"C,R,W,H1,H1,O","1,1,0,0,0",Campfire vote,,Glymour 2010,Glymour 2010,,,,
simple_voting,voting,simple_voting,"A,B,C,D,E,F","1,1,1,1,1",Voting,,,Glymour 12,,,,
engineer1,switch1,,"F,T,A",1,The Engineer,,"Hall 2000, p.205 (according to AG24, p.24)","HP 2005, Ex. 5.4","dog_bite, the kiss, the push",,,
engineer2,switch2,,"F,LB,RB,A","1,0,0",The Engineer,,,"HP 2005, Ex. 5.4",dog_bite,,,
engineer3,switch3,,"F,LT,RT,A",1,The Engineer,,,"HP 2005, Ex. 5.4",dog_bite,,,
careful_poisoning,early_preemption_iso,counterexample_hitchcock,"A,B,D",1,Careful Poisoning,,,Weslake §11,,,,
voting_machine,voting_machine,,"V1,V2,M,P","1,1",Voting machine,,,"Weslake, §4",,,,
two_paths,two_paths,,"A,B,C,D",1,Two paths,,,"Halpern 2015, Ex. 4.2",,,,
putin_watering,default_omission,,"F,C,E","0,1",Default Omission,,,"AG24, Fig. 4",,,,this model is confusing because it also includes individualism vs. Collectivism
neighbor_watering,deviant_omission,,"F,C,E","0,1",Deviant Omission,,,"AG24, Fig. 4",,,,
boulder1,short_circuit,,"B,T,J,D",1,Boulder,,,"AG24, Fig. 6",,,,
boulder2,short_circuit2,,"B, J, D",1,Boulder,,,"Hitchcock 2001, Fig. 7",,,,
